date,ticker,ask,bid,last,high24h,low24h,volume24h
2022-02-13 21:13:24,SOL-USDT,93.506,93.486,93.506,97.461,91.361,774491.390389
2022-02-13 21:13:26,XCH-USDT,79.59,79.57,79.58,81.22,79.05,17437.063079
2022-02-13 21:13:27,FTM-USDT,1.9163,1.9159,1.9161,1.9886,1.885,26251027.126516
2022-02-13 21:13:28,SLP-USDT,0.02956,0.02952,0.02953,0.03472,0.02651,3342200565.366981
2022-02-13 21:13:28,XLM-USDT,0.21334,0.21327,0.21326,0.22192,0.21092,46630370.236469
